system,kind,kernel,trial,final_train_loss,final_val_loss,method,latent_norm_mean,latent_norm_std,latent_cov_rank,operator_rank
graph,cycle_12,encoder(d=4),0,-0.9999567121267319,-0.9999101161956787,SSL+Ridge (PCR),1.4443727920062779,0.016686264679357462,4,3
graph,cycle_12,encoder(d=4),0,-0.9999567121267319,-0.9999101161956787,SSL+Ridge (RRR),1.4443727920062779,0.016686264679357462,4,3
graph,cycle_12,encoder(d=4),0,-0.9999567121267319,-0.9999101161956787,SSL+CCA,1.4443727920062779,0.016686264679357462,4,3
graph,cycle_12,encoder(d=4),1,-1.0023011565208435,-1.00252366065979,SSL+Ridge (PCR),1.176122211240714,0.04075780791981024,4,3
graph,cycle_12,encoder(d=4),1,-1.0023011565208435,-1.00252366065979,SSL+Ridge (RRR),1.176122211240714,0.04075780791981024,4,3
graph,cycle_12,encoder(d=4),1,-1.0023011565208435,-1.00252366065979,SSL+CCA,1.176122211240714,0.04075780791981024,4,3
graph,cycle_12,encoder(d=4),2,-1.0023850202560425,-1.0028870105743408,SSL+Ridge (PCR),1.4781422899989143,0.05165518135701993,4,3
graph,cycle_12,encoder(d=4),2,-1.0023850202560425,-1.0028870105743408,SSL+Ridge (RRR),1.4781422899989143,0.05165518135701993,4,3
graph,cycle_12,encoder(d=4),2,-1.0023850202560425,-1.0028870105743408,SSL+CCA,1.4781422899989143,0.05165518135701993,4,3
graph,cycle_12,encoder(d=8),0,-0.9999755769968033,-0.9999566078186035,SSL+Ridge (PCR),1.213492311554026,0.01079056638415175,8,3
graph,cycle_12,encoder(d=8),0,-0.9999755769968033,-0.9999566078186035,SSL+Ridge (RRR),1.213492311554026,0.01079056638415175,8,3
graph,cycle_12,encoder(d=8),0,-0.9999755769968033,-0.9999566078186035,SSL+CCA,1.213492311554026,0.01079056638415175,8,3
graph,cycle_12,encoder(d=8),1,-1.0001570880413055,-1.0001682043075562,SSL+Ridge (PCR),1.2814832801455813,0.00852210572849475,8,3
graph,cycle_12,encoder(d=8),1,-1.0001570880413055,-1.0001682043075562,SSL+Ridge (RRR),1.2814832801455813,0.00852210572849475,8,3
graph,cycle_12,encoder(d=8),1,-1.0001570880413055,-1.0001682043075562,SSL+CCA,1.2814832801455813,0.00852210572849475,8,3
graph,cycle_12,encoder(d=8),2,-0.9999736845493317,-0.9999681711196899,SSL+Ridge (PCR),1.0419792758463695,0.011834323483986902,8,3
graph,cycle_12,encoder(d=8),2,-0.9999736845493317,-0.9999681711196899,SSL+Ridge (RRR),1.0419792758463695,0.011834323483986902,8,3
graph,cycle_12,encoder(d=8),2,-0.9999736845493317,-0.9999681711196899,SSL+CCA,1.0419792758463695,0.011834323483986902,8,3
graph,cycle_12,encoder(d=16),0,-1.000023066997528,-1.0000241994857788,SSL+Ridge (PCR),0.9838534216677801,0.0021074451199653405,12,3
graph,cycle_12,encoder(d=16),0,-1.000023066997528,-1.0000241994857788,SSL+Ridge (RRR),0.9838534216677801,0.0021074451199653405,12,3
graph,cycle_12,encoder(d=16),0,-1.000023066997528,-1.0000241994857788,SSL+CCA,0.9838534216677801,0.0021074451199653405,12,3
graph,cycle_12,encoder(d=16),1,-1.0000751316547394,-1.000073790550232,SSL+Ridge (PCR),0.9607236653725995,0.003220042587848665,12,3
graph,cycle_12,encoder(d=16),1,-1.0000751316547394,-1.000073790550232,SSL+Ridge (RRR),0.9607236653725995,0.003220042587848665,12,3
graph,cycle_12,encoder(d=16),1,-1.0000751316547394,-1.000073790550232,SSL+CCA,0.9607236653725995,0.003220042587848665,12,3
graph,cycle_12,encoder(d=16),2,-1.0000673830509186,-1.0000579357147217,SSL+Ridge (PCR),1.0680839836627674,0.0035582016375115683,12,3
graph,cycle_12,encoder(d=16),2,-1.0000673830509186,-1.0000579357147217,SSL+Ridge (RRR),1.0680839836627674,0.0035582016375115683,12,3
graph,cycle_12,encoder(d=16),2,-1.0000673830509186,-1.0000579357147217,SSL+CCA,1.0680839836627674,0.0035582016375115683,12,3
graph,path_12,encoder(d=4),0,-0.999983012676239,-0.9998314380645752,SSL+Ridge (PCR),1.4445848001045078,0.018538625939147776,4,3
graph,path_12,encoder(d=4),0,-0.999983012676239,-0.9998314380645752,SSL+Ridge (RRR),1.4445848001045078,0.018538625939147776,4,3
graph,path_12,encoder(d=4),0,-0.999983012676239,-0.9998314380645752,SSL+CCA,1.4445848001045078,0.018538625939147776,4,3
graph,path_12,encoder(d=4),1,-1.1619473099708557,-1.2044533491134644,SSL+Ridge (PCR),1.5691519210907723,0.47806850223333663,4,3
graph,path_12,encoder(d=4),1,-1.1619473099708557,-1.2044533491134644,SSL+Ridge (RRR),1.5691519210907723,0.47806850223333663,4,3
graph,path_12,encoder(d=4),1,-1.1619473099708557,-1.2044533491134644,SSL+CCA,1.5691519210907723,0.47806850223333663,4,3
graph,path_12,encoder(d=4),2,-1.0009273886680603,-1.0005333423614502,SSL+Ridge (PCR),1.4813445371401568,0.07772424761594951,4,3
graph,path_12,encoder(d=4),2,-1.0009273886680603,-1.0005333423614502,SSL+Ridge (RRR),1.4813445371401568,0.07772424761594951,4,3
graph,path_12,encoder(d=4),2,-1.0009273886680603,-1.0005333423614502,SSL+CCA,1.4813445371401568,0.07772424761594951,4,3
graph,path_12,encoder(d=8),0,-1.0000004172325134,-0.9999310970306396,SSL+Ridge (PCR),1.2134121393576984,0.010140029337430207,8,3
graph,path_12,encoder(d=8),0,-1.0000004172325134,-0.9999310970306396,SSL+Ridge (RRR),1.2134121393576984,0.010140029337430207,8,3
graph,path_12,encoder(d=8),0,-1.0000004172325134,-0.9999310970306396,SSL+CCA,1.2134121393576984,0.010140029337430207,8,3
graph,path_12,encoder(d=8),1,-1.0544875264167786,-1.065602421760559,SSL+Ridge (PCR),1.4425856805904127,0.21252627695978868,8,3
graph,path_12,encoder(d=8),1,-1.0544875264167786,-1.065602421760559,SSL+Ridge (RRR),1.4425856805904127,0.21252627695978868,8,3
graph,path_12,encoder(d=8),1,-1.0544875264167786,-1.065602421760559,SSL+CCA,1.4425856805904127,0.21252627695978868,8,3
graph,path_12,encoder(d=8),2,-0.9997624307870865,-0.9989937543869019,SSL+Ridge (PCR),1.040702211589185,0.050886628617470515,8,3
graph,path_12,encoder(d=8),2,-0.9997624307870865,-0.9989937543869019,SSL+Ridge (RRR),1.040702211589185,0.050886628617470515,8,3
graph,path_12,encoder(d=8),2,-0.9997624307870865,-0.9989937543869019,SSL+CCA,1.040702211589185,0.050886628617470515,8,3
graph,path_12,encoder(d=16),0,-1.0000454187393188,-0.9999099373817444,SSL+Ridge (PCR),0.988262960306513,0.011122319425689977,12,3
graph,path_12,encoder(d=16),0,-1.0000454187393188,-0.9999099373817444,SSL+Ridge (RRR),0.988262960306513,0.011122319425689977,12,3
graph,path_12,encoder(d=16),0,-1.0000454187393188,-0.9999099373817444,SSL+CCA,0.988262960306513,0.011122319425689977,12,3
graph,path_12,encoder(d=16),1,-1.0000828802585602,-1.0000633001327515,SSL+Ridge (PCR),0.9564760513984524,0.030371742107193518,12,3
graph,path_12,encoder(d=16),1,-1.0000828802585602,-1.0000633001327515,SSL+Ridge (RRR),0.9564760513984524,0.030371742107193518,12,3
graph,path_12,encoder(d=16),1,-1.0000828802585602,-1.0000633001327515,SSL+CCA,0.9564760513984524,0.030371742107193518,12,3
graph,path_12,encoder(d=16),2,-1.0000662803649902,-0.9997454285621643,SSL+Ridge (PCR),1.0627049211558433,0.03465398084375705,12,3
graph,path_12,encoder(d=16),2,-1.0000662803649902,-0.9997454285621643,SSL+Ridge (RRR),1.0627049211558433,0.03465398084375705,12,3
graph,path_12,encoder(d=16),2,-1.0000662803649902,-0.9997454285621643,SSL+CCA,1.0627049211558433,0.03465398084375705,12,3
