kind,method,kernel,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
r=0.0,Principal Components (kDMD),hermite(bad),3.0,1.0,0.0,0.0,933.3712719652056,0.0,0.27652978153601526,0.1606084640034927,0.1,3.3,0.9510205054169056,0.021830249236820615,5.0,-0.2138727208303425,-0.21118970246178442,-1.1566340255345116,-0.23574674538720458,-0.21967134580852424,0.5392177250276801,-1.343099811319161,0.41304085679645686,0.3419428063050922,-1.7072208724260292,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,4
r=0.0,Reduced Rank,hermite(ugly),3.0,1.0,2.762757887092141e-10,1.8166674788548885e-10,1715.2754227656096,2.0936551636215005e-17,0.43512141929029713,0.1730264069979277,0.9,0.7,0.7168578760206877,0.2296209112257657,1.4,0.0,0.0,0.0,-0.2357467453771792,0.0,0.0,0.8300055013770097,-1.7835855179846996,0.5976745053877439,-1.1876188872909124,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,12
r=0.5,Principal Components (kDMD),hermite(ugly),1.0,0.5,0.0,0.0,25.218591404982647,0.0,0.9409777919250353,0.0077825735930394345,1.0,1.0,0.9531584201042925,0.020347040241613417,1.0,-0.2138727208303425,-0.8869349901344542,1.058350865596923,-0.23574674538720458,-0.21967134580852424,-1.0021062700858172,1.101643665464031,-1.530128628586874,0.0,-1.44508141788992,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,7
r=0.5,Reduced Rank,hermite(ugly),3.0,1.0,9.22745019912638e-17,5.4435171558776703e-17,2.2535099598944996,3.100273419470276e-17,0.9499601004694025,0.05077180239073404,1.0,1.1,1.1587425547882666,0.578542868095376,1.8,-0.21387272083030834,-0.9040230259897954,1.0882940325598365,-0.23574674537235904,-0.21967134580851802,-0.5685388313530758,1.101643665464031,-1.4456429987875987,0.11508716858168609,-1.1818052130015857,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,13
r=1.2,Principal Components (kDMD),hermite(ugly),1.0,0.5,0.0,0.0,13.896327027418897,0.0,0.8172637338830413,0.013752153729589144,1.0,1.0,0.95119544932758,0.019659758178434565,1.0,-0.2138727208303425,-0.8953597483966915,0.6459412186432983,-0.23574674538720458,-0.21967134580852424,-0.9419001290942277,1.101643665464031,-1.530128628586874,0.0,-1.8508642878578847,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,3
r=1.2,Reduced Rank,hermite(ugly),3.0,1.0,0.0,4.864854598809581e-06,0.0,1.846177282005852e-16,1.250720197126908,0.23154464622428358,1.0,0.9,2.8064619789751197,0.8766695783392774,3.8,-0.2138727208303425,-0.9056998351527467,2.090899292167087,-0.23574674529880132,0.0,0.0,1.101643665464031,-1.6146142583861494,-1.684406153838268,-1.0525421390386709,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,14
r=2.5,Principal Components (kDMD),hermite(ugly),3.0,1.0,0.0,0.0,4.0234813807603915,0.0,0.6141562812564595,0.06955586409481676,0.0,1.1,0.9858916918017302,0.007908020376572386,1.4,-0.2138727208303425,-0.9027060119319527,-0.031131978672285843,-0.23574674538720458,0.0,0.0,-1.6147379754061824,-1.4456429987875987,0.30385958283680015,-3.366666279200473,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,2
r=2.5,Reduced Rank,hermite(ugly),3.0,1.0,0.0,0.0,0.0,5.779778354132886e-16,1.3556509210067258,0.19427624960265705,1.0,1.8,4.016009201065664,1.1664271484623208,4.4,-0.2138727208303425,-0.9056998351527467,2.440693353365651,-0.23574674511044283,-0.21967134580852424,0.8787738412522067,1.101643665464031,-0.8542435901926719,-3.005366577896918,-0.43808199772085454,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,18
r=3.2,Principal Components (kDMD),hermite(ugly),1.0,0.5,0.0,0.0,9.739640153223466,0.0,0.4677323340440559,0.010791994884225952,0.0,1.0,0.9252479786003194,0.017734828568304623,1.0,-0.2138727208303425,-0.8984526881938143,-0.5192466628977895,-0.23574674538720458,-0.21967134580852424,-0.9717547816367504,-1.6147379754061824,-1.530128628586874,0.0,-4.384799592766832,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,1
r=3.2,Reduced Rank,hermite(ugly),3.0,1.0,4.5909202575407194e-17,1.1245412080781497e-16,0.09356949836209426,4.906752337298558e-16,1.3155833292598436,0.30490982155419133,0.9,2.5,4.389597866411173,0.849620096085281,4.3,-0.21387272083032552,-0.9056302112349391,2.307125175034579,-0.2357467451522472,-0.21967134580851136,1.994567628914979,0.8300055013770097,-0.2628441815977451,-3.4133670534346696,-0.041052016456767815,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,19
r=4.0,Principal Components (kDMD),hermite(ugly),1.0,0.5,0.0,0.0,11.647060777439814,0.0,0.8673312943831342,0.014502839810917798,1.0,1.0,0.9617701729731654,0.014180049167120345,1.0,-0.2138727208303425,-0.8970333998670665,0.8128450069149884,-0.23574674538720458,-0.21967134580852424,-0.9343290921001554,1.101643665464031,-1.530128628586874,0.0,-1.6837413918080515,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,5
r=4.0,Reduced Rank,hermite(ugly),3.0,1.0,0.0,0.0,0.0,2.790432850546436e-16,1.2954191926555203,0.0453806168920083,1.0,1.7,3.005709921138877,0.4164540455738467,4.9,-0.2138727208303425,-0.9056998351527467,2.239906585734963,-0.23574674525358613,-0.21967134580852424,-0.6229115789875012,1.101643665464031,-0.9387292199919473,-1.9020071216769157,-0.5470960221723152,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,17
