kernel,kind,omega,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
rbf(gamma=0.041615479676953476),omega=0.0,0.0,Principal Components (kDMD),0,,5,0.011483501930134143,5
rbf(gamma=0.08323095935390695),omega=0.0,0.0,Principal Components (kDMD),0,,5,0.010672283386730319,5
rbf(gamma=0.1664619187078139),omega=0.0,0.0,Principal Components (kDMD),0,,5,0.00979581399106455,5
rbf(gamma=0.3329238374156278),omega=0.0,0.0,Principal Components (kDMD),0,,5,0.009649755862148446,5
rbf(gamma=0.6658476748312556),omega=0.0,0.0,Principal Components (kDMD),0,,5,0.007982661028042126,5
rbf(gamma=0.03687187338817967),omega=0.0,0.0,Principal Components (kDMD),1,,4,0.008386840288629127,5
rbf(gamma=0.07374374677635934),omega=0.0,0.0,Principal Components (kDMD),1,,4,0.007715033140896499,5
rbf(gamma=0.14748749355271867),omega=0.0,0.0,Principal Components (kDMD),1,,5,0.006816269097216776,5
rbf(gamma=0.29497498710543735),omega=0.0,0.0,Principal Components (kDMD),1,,5,0.006893264382946129,5
rbf(gamma=0.5899499742108747),omega=0.0,0.0,Principal Components (kDMD),1,,5,0.00791667472098978,5
rbf(gamma=0.06492902188090491),omega=0.0,0.0,Principal Components (kDMD),2,,5,0.00722850676560105,5
rbf(gamma=0.12985804376180982),omega=0.0,0.0,Principal Components (kDMD),2,,5,0.006778826013148831,5
rbf(gamma=0.25971608752361963),omega=0.0,0.0,Principal Components (kDMD),2,,5,0.006750403074042621,5
rbf(gamma=0.5194321750472393),omega=0.0,0.0,Principal Components (kDMD),2,,5,0.00785146226778144,5
rbf(gamma=1.0388643500944785),omega=0.0,0.0,Principal Components (kDMD),2,,5,0.010081081931559432,5
rbf(gamma=0.04090578015752305),omega=0.0,0.0,Principal Components (kDMD),3,,4,0.00888490846984935,5
rbf(gamma=0.0818115603150461),omega=0.0,0.0,Principal Components (kDMD),3,,4,0.008694655427900377,5
rbf(gamma=0.1636231206300922),omega=0.0,0.0,Principal Components (kDMD),3,,5,0.008440449195555755,5
rbf(gamma=0.3272462412601844),omega=0.0,0.0,Principal Components (kDMD),3,,5,0.008375205917453443,5
rbf(gamma=0.6544924825203688),omega=0.0,0.0,Principal Components (kDMD),3,,5,0.008965054605012623,5
rbf(gamma=0.05607236565047633),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.01047505419897643,5
rbf(gamma=0.11214473130095266),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.009758652441473892,5
rbf(gamma=0.22428946260190533),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.009345888207450193,5
rbf(gamma=0.44857892520381065),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.010235108747069566,5
rbf(gamma=0.8971578504076213),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.013560373437437323,5
rbf(gamma=0.050925611677024626),omega=0.0,0.0,Principal Components (kDMD),5,,4,0.006975725835262958,5
rbf(gamma=0.10185122335404925),omega=0.0,0.0,Principal Components (kDMD),5,,5,0.006739716761927084,5
rbf(gamma=0.2037024467080985),omega=0.0,0.0,Principal Components (kDMD),5,,5,0.006747560338696723,5
rbf(gamma=0.407404893416197),omega=0.0,0.0,Principal Components (kDMD),5,,5,0.007399266437704388,5
rbf(gamma=0.814809786832394),omega=0.0,0.0,Principal Components (kDMD),5,,5,0.009125192162870888,5
rbf(gamma=0.03538973938208476),omega=0.0,0.0,Principal Components (kDMD),6,,5,0.007270700268699581,5
rbf(gamma=0.07077947876416953),omega=0.0,0.0,Principal Components (kDMD),6,,5,0.006483169735274297,5
rbf(gamma=0.14155895752833905),omega=0.0,0.0,Principal Components (kDMD),6,,5,0.0054578748275712075,5
rbf(gamma=0.2831179150566781),omega=0.0,0.0,Principal Components (kDMD),6,,5,0.005075998061984999,5
rbf(gamma=0.5662358301133562),omega=0.0,0.0,Principal Components (kDMD),6,,5,0.005796551674686401,5
rbf(gamma=0.037808931722169516),omega=0.0,0.0,Principal Components (kDMD),7,,4,0.006835985726854621,5
rbf(gamma=0.07561786344433903),omega=0.0,0.0,Principal Components (kDMD),7,,5,0.006213669426415436,5
rbf(gamma=0.15123572688867806),omega=0.0,0.0,Principal Components (kDMD),7,,5,0.005538330324639018,5
rbf(gamma=0.3024714537773561),omega=0.0,0.0,Principal Components (kDMD),7,,5,0.005370872085328715,5
rbf(gamma=0.6049429075547123),omega=0.0,0.0,Principal Components (kDMD),7,,5,0.006552513290539519,5
rbf(gamma=0.05108148762807717),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.00703310656838152,5
rbf(gamma=0.10216297525615434),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.006417554548014515,5
rbf(gamma=0.20432595051230867),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.0058692413811329835,5
rbf(gamma=0.40865190102461735),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.0057251694642566076,5
rbf(gamma=0.8173038020492347),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.005836691238923164,5
rbf(gamma=0.037157577723778375),omega=0.0,0.0,Principal Components (kDMD),9,,4,0.008032016136268028,5
rbf(gamma=0.07431515544755675),omega=0.0,0.0,Principal Components (kDMD),9,,5,0.007714598534844019,5
rbf(gamma=0.1486303108951135),omega=0.0,0.0,Principal Components (kDMD),9,,5,0.007632060414780484,5
rbf(gamma=0.297260621790227),omega=0.0,0.0,Principal Components (kDMD),9,,5,0.008610949727391182,5
rbf(gamma=0.594521243580454),omega=0.0,0.0,Principal Components (kDMD),9,,5,0.010075058444864338,5
rbf(gamma=0.041615479676953476),omega=0.0,0.0,Reduced Rank,0,,5,0.011273661750156871,5
rbf(gamma=0.08323095935390695),omega=0.0,0.0,Reduced Rank,0,,5,0.010487998475210536,5
rbf(gamma=0.1664619187078139),omega=0.0,0.0,Reduced Rank,0,,5,0.00959654804429666,5
rbf(gamma=0.3329238374156278),omega=0.0,0.0,Reduced Rank,0,,5,0.00919919888185905,5
rbf(gamma=0.6658476748312556),omega=0.0,0.0,Reduced Rank,0,,5,0.007304615378165735,5
rbf(gamma=0.03687187338817967),omega=0.0,0.0,Reduced Rank,1,,4,0.008059961556605155,5
rbf(gamma=0.07374374677635934),omega=0.0,0.0,Reduced Rank,1,,4,0.007503599498234981,5
rbf(gamma=0.14748749355271867),omega=0.0,0.0,Reduced Rank,1,,5,0.0066559304230223715,5
rbf(gamma=0.29497498710543735),omega=0.0,0.0,Reduced Rank,1,,5,0.006551797683309379,5
rbf(gamma=0.5899499742108747),omega=0.0,0.0,Reduced Rank,1,,5,0.007122077754053047,5
rbf(gamma=0.06492902188090491),omega=0.0,0.0,Reduced Rank,2,,5,0.007015224819356347,5
rbf(gamma=0.12985804376180982),omega=0.0,0.0,Reduced Rank,2,,5,0.006582479401791352,5
rbf(gamma=0.25971608752361963),omega=0.0,0.0,Reduced Rank,2,,5,0.006488474608526973,5
rbf(gamma=0.5194321750472393),omega=0.0,0.0,Reduced Rank,2,,5,0.007249549226897245,5
rbf(gamma=1.0388643500944785),omega=0.0,0.0,Reduced Rank,2,,5,0.008584808640167085,5
rbf(gamma=0.04090578015752305),omega=0.0,0.0,Reduced Rank,3,,4,0.00899410296040315,5
rbf(gamma=0.0818115603150461),omega=0.0,0.0,Reduced Rank,3,,4,0.008745812229898897,5
rbf(gamma=0.1636231206300922),omega=0.0,0.0,Reduced Rank,3,,5,0.007963836346176256,5
rbf(gamma=0.3272462412601844),omega=0.0,0.0,Reduced Rank,3,,5,0.007846527108837709,5
rbf(gamma=0.6544924825203688),omega=0.0,0.0,Reduced Rank,3,,5,0.008323571470927438,5
rbf(gamma=0.05607236565047633),omega=0.0,0.0,Reduced Rank,4,,5,0.010177781158846488,5
rbf(gamma=0.11214473130095266),omega=0.0,0.0,Reduced Rank,4,,5,0.009531022889429419,5
rbf(gamma=0.22428946260190533),omega=0.0,0.0,Reduced Rank,4,,5,0.009187699564009,5
rbf(gamma=0.44857892520381065),omega=0.0,0.0,Reduced Rank,4,,5,0.010004708002194662,5
rbf(gamma=0.8971578504076213),omega=0.0,0.0,Reduced Rank,4,,5,0.01258161252339085,5
rbf(gamma=0.050925611677024626),omega=0.0,0.0,Reduced Rank,5,,4,0.006877347677980761,5
rbf(gamma=0.10185122335404925),omega=0.0,0.0,Reduced Rank,5,,5,0.006626147301210694,5
rbf(gamma=0.2037024467080985),omega=0.0,0.0,Reduced Rank,5,,5,0.006539866285135476,5
rbf(gamma=0.407404893416197),omega=0.0,0.0,Reduced Rank,5,,5,0.007075929279032445,5
rbf(gamma=0.814809786832394),omega=0.0,0.0,Reduced Rank,5,,5,0.008544553145181544,5
rbf(gamma=0.03538973938208476),omega=0.0,0.0,Reduced Rank,6,,5,0.007035617817938378,5
rbf(gamma=0.07077947876416953),omega=0.0,0.0,Reduced Rank,6,,5,0.006358567347986344,5
rbf(gamma=0.14155895752833905),omega=0.0,0.0,Reduced Rank,6,,5,0.005466783627871341,5
rbf(gamma=0.2831179150566781),omega=0.0,0.0,Reduced Rank,6,,5,0.005042024728892702,5
rbf(gamma=0.5662358301133562),omega=0.0,0.0,Reduced Rank,6,,5,0.005493769825369976,5
rbf(gamma=0.037808931722169516),omega=0.0,0.0,Reduced Rank,7,,4,0.006681717534458231,5
rbf(gamma=0.07561786344433903),omega=0.0,0.0,Reduced Rank,7,,5,0.006068133097872019,5
rbf(gamma=0.15123572688867806),omega=0.0,0.0,Reduced Rank,7,,5,0.005458301939252008,5
rbf(gamma=0.3024714537773561),omega=0.0,0.0,Reduced Rank,7,,5,0.005246837678558602,5
rbf(gamma=0.6049429075547123),omega=0.0,0.0,Reduced Rank,7,,5,0.006189883115084505,5
rbf(gamma=0.05108148762807717),omega=0.0,0.0,Reduced Rank,8,,5,0.0067586909912067394,5
rbf(gamma=0.10216297525615434),omega=0.0,0.0,Reduced Rank,8,,5,0.0061945867212642725,5
rbf(gamma=0.20432595051230867),omega=0.0,0.0,Reduced Rank,8,,5,0.005739457158945971,5
rbf(gamma=0.40865190102461735),omega=0.0,0.0,Reduced Rank,8,,5,0.005548479138249851,5
rbf(gamma=0.8173038020492347),omega=0.0,0.0,Reduced Rank,8,,5,0.005396615651241943,5
rbf(gamma=0.037157577723778375),omega=0.0,0.0,Reduced Rank,9,,4,0.007857502199840938,5
rbf(gamma=0.07431515544755675),omega=0.0,0.0,Reduced Rank,9,,5,0.00760807060958868,5
rbf(gamma=0.1486303108951135),omega=0.0,0.0,Reduced Rank,9,,5,0.007520527923649656,5
rbf(gamma=0.297260621790227),omega=0.0,0.0,Reduced Rank,9,,5,0.008014753836167565,5
rbf(gamma=0.594521243580454),omega=0.0,0.0,Reduced Rank,9,,5,0.00924590321732488,5
rbf(gamma=0.03572600020469638),omega=0.5,0.5,Principal Components (kDMD),0,,4,0.009336517090854701,5
rbf(gamma=0.07145200040939276),omega=0.5,0.5,Principal Components (kDMD),0,,4,0.008870899466395188,5
rbf(gamma=0.14290400081878551),omega=0.5,0.5,Principal Components (kDMD),0,,5,0.008313914352060858,5
rbf(gamma=0.28580800163757103),omega=0.5,0.5,Principal Components (kDMD),0,,5,0.007854054841999747,5
rbf(gamma=0.5716160032751421),omega=0.5,0.5,Principal Components (kDMD),0,,5,0.007407853064539727,5
rbf(gamma=0.06204132226613671),omega=0.5,0.5,Principal Components (kDMD),1,,5,0.013892518041959345,5
rbf(gamma=0.12408264453227343),omega=0.5,0.5,Principal Components (kDMD),1,,5,0.01363345351235401,5
rbf(gamma=0.24816528906454685),omega=0.5,0.5,Principal Components (kDMD),1,,5,0.013833280325650787,5
rbf(gamma=0.4963305781290937),omega=0.5,0.5,Principal Components (kDMD),1,,5,0.014470692376320704,5
rbf(gamma=0.9926611562581874),omega=0.5,0.5,Principal Components (kDMD),1,,5,0.01601108683427166,5
rbf(gamma=0.057922391345933646),omega=0.5,0.5,Principal Components (kDMD),2,,5,0.01296289005417961,5
rbf(gamma=0.11584478269186729),omega=0.5,0.5,Principal Components (kDMD),2,,5,0.012633490007199155,5
rbf(gamma=0.23168956538373459),omega=0.5,0.5,Principal Components (kDMD),2,,5,0.012646752497635805,5
rbf(gamma=0.46337913076746917),omega=0.5,0.5,Principal Components (kDMD),2,,5,0.013714496850243396,5
rbf(gamma=0.9267582615349383),omega=0.5,0.5,Principal Components (kDMD),2,,5,0.01640445285367287,5
rbf(gamma=0.05179532109810483),omega=0.5,0.5,Principal Components (kDMD),3,,5,0.010833353330014006,5
rbf(gamma=0.10359064219620966),omega=0.5,0.5,Principal Components (kDMD),3,,5,0.010212063206694322,5
rbf(gamma=0.2071812843924193),omega=0.5,0.5,Principal Components (kDMD),3,,5,0.009696044670620907,5
rbf(gamma=0.4143625687848386),omega=0.5,0.5,Principal Components (kDMD),3,,5,0.00985183337371942,5
rbf(gamma=0.8287251375696773),omega=0.5,0.5,Principal Components (kDMD),3,,5,0.010892727362066146,5
rbf(gamma=0.04991329869862887),omega=0.5,0.5,Principal Components (kDMD),4,,4,0.010019737662339212,5
rbf(gamma=0.09982659739725774),omega=0.5,0.5,Principal Components (kDMD),4,,5,0.009773269449738553,5
rbf(gamma=0.1996531947945155),omega=0.5,0.5,Principal Components (kDMD),4,,5,0.00995781178197963,5
rbf(gamma=0.399306389589031),omega=0.5,0.5,Principal Components (kDMD),4,,5,0.011068716167111137,5
rbf(gamma=0.798612779178062),omega=0.5,0.5,Principal Components (kDMD),4,,5,0.0097446191555276,5
rbf(gamma=0.03252338545705879),omega=0.5,0.5,Principal Components (kDMD),5,,5,0.006904674394011212,5
rbf(gamma=0.06504677091411758),omega=0.5,0.5,Principal Components (kDMD),5,,5,0.006576123708169401,5
rbf(gamma=0.13009354182823515),omega=0.5,0.5,Principal Components (kDMD),5,,5,0.006919530671621543,5
rbf(gamma=0.2601870836564703),omega=0.5,0.5,Principal Components (kDMD),5,,5,0.005794245469231796,5
rbf(gamma=0.5203741673129406),omega=0.5,0.5,Principal Components (kDMD),5,,5,0.005821305676701138,5
rbf(gamma=0.03698414526286625),omega=0.5,0.5,Principal Components (kDMD),6,,4,0.008705773971067865,5
rbf(gamma=0.0739682905257325),omega=0.5,0.5,Principal Components (kDMD),6,,5,0.008105974981137298,5
rbf(gamma=0.147936581051465),omega=0.5,0.5,Principal Components (kDMD),6,,5,0.007398832641627662,5
rbf(gamma=0.29587316210293),omega=0.5,0.5,Principal Components (kDMD),6,,5,0.007002119370735582,5
rbf(gamma=0.59174632420586),omega=0.5,0.5,Principal Components (kDMD),6,,5,0.007401434819228059,5
rbf(gamma=0.03683909825494282),omega=0.5,0.5,Principal Components (kDMD),7,,4,0.005263340813056239,5
rbf(gamma=0.07367819650988564),omega=0.5,0.5,Principal Components (kDMD),7,,5,0.004649876896795746,5
rbf(gamma=0.14735639301977127),omega=0.5,0.5,Principal Components (kDMD),7,,5,0.003958016254049235,5
rbf(gamma=0.29471278603954254),omega=0.5,0.5,Principal Components (kDMD),7,,5,0.0034517281090222784,5
rbf(gamma=0.5894255720790851),omega=0.5,0.5,Principal Components (kDMD),7,,5,0.0030267150675961085,5
rbf(gamma=0.054438931578359245),omega=0.5,0.5,Principal Components (kDMD),8,,5,0.012769659145228984,5
rbf(gamma=0.10887786315671849),omega=0.5,0.5,Principal Components (kDMD),8,,5,0.012232050127538918,5
rbf(gamma=0.21775572631343698),omega=0.5,0.5,Principal Components (kDMD),8,,5,0.011802148015832459,5
rbf(gamma=0.43551145262687396),omega=0.5,0.5,Principal Components (kDMD),8,,5,0.012077097309047824,5
rbf(gamma=0.8710229052537479),omega=0.5,0.5,Principal Components (kDMD),8,,5,0.013625456815644088,5
rbf(gamma=0.04539207669521673),omega=0.5,0.5,Principal Components (kDMD),9,,5,0.0115667668876267,5
rbf(gamma=0.09078415339043346),omega=0.5,0.5,Principal Components (kDMD),9,,5,0.010911711949519343,5
rbf(gamma=0.1815683067808669),omega=0.5,0.5,Principal Components (kDMD),9,,5,0.010173979191440696,5
rbf(gamma=0.3631366135617338),omega=0.5,0.5,Principal Components (kDMD),9,,5,0.00999781395524968,5
rbf(gamma=0.7262732271234676),omega=0.5,0.5,Principal Components (kDMD),9,,5,0.010462601446625586,5
rbf(gamma=0.03572600020469638),omega=0.5,0.5,Reduced Rank,0,,4,0.008975403120196623,5
rbf(gamma=0.07145200040939276),omega=0.5,0.5,Reduced Rank,0,,4,0.008530693898136876,5
rbf(gamma=0.14290400081878551),omega=0.5,0.5,Reduced Rank,0,,5,0.008043876730370547,5
rbf(gamma=0.28580800163757103),omega=0.5,0.5,Reduced Rank,0,,5,0.007595194472933331,5
rbf(gamma=0.5716160032751421),omega=0.5,0.5,Reduced Rank,0,,5,0.007039763821589884,5
rbf(gamma=0.06204132226613671),omega=0.5,0.5,Reduced Rank,1,,5,0.013522587734384528,5
rbf(gamma=0.12408264453227343),omega=0.5,0.5,Reduced Rank,1,,5,0.013375244153963517,5
rbf(gamma=0.24816528906454685),omega=0.5,0.5,Reduced Rank,1,,5,0.013627253442051512,5
rbf(gamma=0.4963305781290937),omega=0.5,0.5,Reduced Rank,1,,5,0.014149032303010123,5
rbf(gamma=0.9926611562581874),omega=0.5,0.5,Reduced Rank,1,,5,0.015203425049221675,5
rbf(gamma=0.057922391345933646),omega=0.5,0.5,Reduced Rank,2,,5,0.012775085784970885,5
rbf(gamma=0.11584478269186729),omega=0.5,0.5,Reduced Rank,2,,5,0.012417094272269336,5
rbf(gamma=0.23168956538373459),omega=0.5,0.5,Reduced Rank,2,,5,0.012330491918652875,5
rbf(gamma=0.46337913076746917),omega=0.5,0.5,Reduced Rank,2,,5,0.013119550945806635,5
rbf(gamma=0.9267582615349383),omega=0.5,0.5,Reduced Rank,2,,5,0.015139476060590296,5
rbf(gamma=0.05179532109810483),omega=0.5,0.5,Reduced Rank,3,,5,0.0106659314427352,5
rbf(gamma=0.10359064219620966),omega=0.5,0.5,Reduced Rank,3,,5,0.01010448885697579,5
rbf(gamma=0.2071812843924193),omega=0.5,0.5,Reduced Rank,3,,5,0.009592994688991108,5
rbf(gamma=0.4143625687848386),omega=0.5,0.5,Reduced Rank,3,,5,0.009580971255041315,5
rbf(gamma=0.8287251375696773),omega=0.5,0.5,Reduced Rank,3,,5,0.01024150148445746,5
rbf(gamma=0.04991329869862887),omega=0.5,0.5,Reduced Rank,4,,4,0.009587426144699762,5
rbf(gamma=0.09982659739725774),omega=0.5,0.5,Reduced Rank,4,,5,0.009437494291981152,5
rbf(gamma=0.1996531947945155),omega=0.5,0.5,Reduced Rank,4,,5,0.009647885388578192,5
rbf(gamma=0.399306389589031),omega=0.5,0.5,Reduced Rank,4,,5,0.010616721169722898,5
rbf(gamma=0.798612779178062),omega=0.5,0.5,Reduced Rank,4,,5,0.008341887356102529,5
rbf(gamma=0.03252338545705879),omega=0.5,0.5,Reduced Rank,5,,4,0.0067239481875353,5
rbf(gamma=0.06504677091411758),omega=0.5,0.5,Reduced Rank,5,,5,0.006525566023028784,5
rbf(gamma=0.13009354182823515),omega=0.5,0.5,Reduced Rank,5,,5,0.006583797026100235,5
rbf(gamma=0.2601870836564703),omega=0.5,0.5,Reduced Rank,5,,5,0.005549991165399892,5
rbf(gamma=0.5203741673129406),omega=0.5,0.5,Reduced Rank,5,,5,0.0054108119878231165,5
rbf(gamma=0.03698414526286625),omega=0.5,0.5,Reduced Rank,6,,4,0.008446246705705152,5
rbf(gamma=0.0739682905257325),omega=0.5,0.5,Reduced Rank,6,,5,0.007892296016944966,5
rbf(gamma=0.147936581051465),omega=0.5,0.5,Reduced Rank,6,,5,0.007224336906785811,5
rbf(gamma=0.29587316210293),omega=0.5,0.5,Reduced Rank,6,,5,0.00678115593318962,5
rbf(gamma=0.59174632420586),omega=0.5,0.5,Reduced Rank,6,,5,0.006935519863075945,5
rbf(gamma=0.03683909825494282),omega=0.5,0.5,Reduced Rank,7,,4,0.004981192058695849,5
rbf(gamma=0.07367819650988564),omega=0.5,0.5,Reduced Rank,7,,5,0.004361638704861837,5
rbf(gamma=0.14735639301977127),omega=0.5,0.5,Reduced Rank,7,,5,0.003705008698267731,5
rbf(gamma=0.29471278603954254),omega=0.5,0.5,Reduced Rank,7,,5,0.003216492395351489,5
rbf(gamma=0.5894255720790851),omega=0.5,0.5,Reduced Rank,7,,5,0.002747493635830378,5
rbf(gamma=0.054438931578359245),omega=0.5,0.5,Reduced Rank,8,,5,0.012291341637609698,5
rbf(gamma=0.10887786315671849),omega=0.5,0.5,Reduced Rank,8,,5,0.011803098824836322,5
rbf(gamma=0.21775572631343698),omega=0.5,0.5,Reduced Rank,8,,5,0.011405499908878847,5
rbf(gamma=0.43551145262687396),omega=0.5,0.5,Reduced Rank,8,,5,0.011522822489248852,5
rbf(gamma=0.8710229052537479),omega=0.5,0.5,Reduced Rank,8,,5,0.012445342117231806,5
rbf(gamma=0.04539207669521673),omega=0.5,0.5,Reduced Rank,9,,5,0.011243442115191904,5
rbf(gamma=0.09078415339043346),omega=0.5,0.5,Reduced Rank,9,,5,0.010613580204484663,5
rbf(gamma=0.1815683067808669),omega=0.5,0.5,Reduced Rank,9,,5,0.00978904390303681,5
rbf(gamma=0.3631366135617338),omega=0.5,0.5,Reduced Rank,9,,5,0.009507770228788348,5
